Initiative Name,Owner,Start Date,End Date,Status,KPI Target,KPI Achieved,Business Benefit,KPI_Achievement_%
Manufacturing Optimization,Rahul,2024-01-10,2024-04-15,Completed,90,92,1500000,102.22222222222221
Supply Chain Automation,Priya,2024-02-01,2024-06-01,On Track,85,80,1200000,94.11764705882352
Quality Control AI,Ankit,2024-01-20,2024-05-10,Delayed,88,70,900000,79.54545454545455
Inventory Forecasting,Meera,2024-03-01,2024-07-01,On Track,80,75,700000,93.75
Energy Efficiency Program,Raj,2024-01-05,2024-04-01,Completed,95,96,2000000,101.05263157894737
Digital Documentation,Nisha,2024-02-10,2024-06-20,Delayed,85,60,500000,70.58823529411765
Predictive Maintenance,Suresh,2024-01-15,2024-05-15,On Track,90,87,1400000,96.66666666666667
AI Demand Planning,Kavya,2024-03-10,2024-07-10,On Track,82,78,850000,95.1219512195122
Automated Compliance Reporting,Arjun,2024-02-05,2024-05-30,Completed,88,90,1100000,102.27272727272727
Process Waste Reduction,Deepa,2024-01-25,2024-04-30,Delayed,92,65,600000,70.65217391304348
